LEA_STATE,YEAR,gap_var,b1,b2,b3,b4,n_gt1,min,max,n
CO,2020,ENR_AP_GAP_BL,1.334855317,1.54403867,1.662868387,2.194941372,32,0.025641026,8.748686244,47
CO,2020,ENR_AP_GAP_HI,1.232574784,1.609225852,1.943173857,2.502054098,69,0.054825714,5.823923445,85
CO,2021,ENR_AP_GAP_AS,1.129783553,1.157612673,1.18036988,1.223944049,7,0.072115385,1.287028399,60
CO,2021,ENR_AP_GAP_BL,1.253382003,1.473208023,1.860501885,2.185965315,35,0.28875,4.382328308,42
CO,2021,ENR_AP_GAP_HI,1.346585486,1.697158131,1.977178795,2.529748048,68,0.254545455,5.03125,85
CT,2011,ENR_AP_GAP_AS,1.01240943,1.071398899,1.214735084,1.396088443,9,0.138888889,6.654589372,106
CT,2011,ENR_AP_GAP_BL,1.533492581,2.125954011,2.673489985,3.129340255,68,0.074270557,7.929752066,95
CT,2011,ENR_AP_GAP_HI,1.332659396,1.662082851,1.983699242,2.787398491,83,0.316455696,7.871273713,104
CT,2013,ENR_AP_GAP_AS,1.127906977,1.329545455,1.464751958,1.612644225,6,0.128419453,1.881088825,108
CT,2013,ENR_AP_GAP_BL,1.29713539,1.763235633,2.082458276,2.755747549,80,0.11814346,7.873781148,103
CT,2013,ENR_AP_GAP_HI,1.400326168,1.784043385,2.174780944,2.807862716,92,0.143700787,8.205929919,111
CT,2017,ENR_AP_GAP_AS,1.050193466,1.155618463,1.317198598,1.617722256,14,0.298013245,2.739130435,119
CT,2017,ENR_AP_GAP_BL,1.570353274,1.950468253,2.341570892,3.291319437,89,0.17219917,32.08695652,104
CT,2017,ENR_AP_GAP_HI,1.46980891,1.815011444,2.176050431,2.964819991,105,0.284552846,6.705298013,120
CT,2020,ENR_AP_GAP_AS,1.077348066,1.185851319,1.227606461,1.665346535,16,0.146537842,3.877458396,118
CT,2020,ENR_AP_GAP_BL,1.383650359,1.888959869,2.29646692,2.841361161,89,0.4,35.6039604,100
CT,2020,ENR_AP_GAP_HI,1.519119466,1.781615085,2.095597375,2.914012739,111,0.398544521,17.22666667,120
CT,2021,ENR_AP_GAP_AS,1.041904685,1.090542964,1.337465063,1.544406895,12,0.146341463,2.256578947,121
CT,2021,ENR_AP_GAP_BL,1.572291994,1.945563997,2.52001303,3.054529654,84,0.406417112,6.806355511,105
CT,2021,ENR_AP_GAP_HI,1.383896624,1.634969503,2.00017615,2.665109192,118,0.798211091,6.599326599,125
DC,2011,ENR_AP_GAP_AS,1.599799146,1.599799146,1.599799146,1.599799146,1,0.75,1.599799146,3
DC,2011,ENR_AP_GAP_BL,1.310277916,1.550014888,1.78328536,2.594271396,4,1.067307692,3.694115215,4
DC,2011,ENR_AP_GAP_HI,1.588367809,1.767644709,2.062749604,2.473682494,3,1.409090909,2.884615385,3
DC,2013,ENR_AP_GAP_AS,1.203330713,1.203330713,1.203330713,1.203330713,1,0.25,1.203330713,4
DC,2013,ENR_AP_GAP_BL,2.101598587,2.910799514,3.362664809,3.457194474,3,0.774193548,3.551724138,4
DC,2013,ENR_AP_GAP_HI,1.442751827,1.802170321,2.428360798,3.321323256,3,0.657142857,4.214285714,4
DC,2015,ENR_AP_GAP_AS,1.122797032,1.122797032,1.122797032,1.122797032,1,0.792613636,1.122797032,4
DC,2015,ENR_AP_GAP_BL,1.705354083,2.394268708,3.218809463,3.995148601,5,1.007973422,4.211538462,5
DC,2015,ENR_AP_GAP_HI,1.817631936,1.882050093,2.017996289,3.070545153,4,0.951428571,4.581395349,5
DC,2017,ENR_AP_GAP_AS,1.18070889,1.234669599,1.288630307,1.342591016,2,0.333333333,1.396551724,5
DC,2017,ENR_AP_GAP_BL,1.547612452,1.856295108,2.033841219,2.225994222,4,0.936507937,2.425450671,6
DC,2017,ENR_AP_GAP_HI,1.598064805,1.734591149,2.019524836,2.452865866,3,0.830729167,2.886206897,6
DC,2020,ENR_AP_GAP_AS,1.828038892,2.371029169,2.914019446,3.457009723,2,0.606741573,4,6
DC,2020,ENR_AP_GAP_BL,2.789585821,3.296016902,5.20802005,7.683895131,5,0.962303423,7.752808989,6
DC,2020,ENR_AP_GAP_HI,1.801634889,1.911157025,3.037037037,4.404040404,6,1.005072464,4.617977528,6
DC,2021,ENR_AP_GAP_AS,1.385865009,1.674076215,3.054545455,5.527272727,3,0.25,8,7
DC,2021,ENR_AP_GAP_BL,2.101694915,2.185293047,2.579972231,2.937062937,6,0.789230769,9.26618705,7
DC,2021,ENR_AP_GAP_HI,1.623995408,1.642372881,1.872635541,2.575260805,6,0.814479638,5.806451613,7
DE,2011,ENR_AP_GAP_BL,1.937353652,2.149994237,2.580977761,3.019370009,19,0.849002381,3.853636364,21
DE,2011,ENR_AP_GAP_HI,1.311461855,1.534477773,1.818110254,2.555064982,15,0.593922127,4.083585859,21
DE,2013,ENR_AP_GAP_AS,1.131944444,1.131944444,1.131944444,1.131944444,1,0.230909091,1.131944444,18
DE,2013,ENR_AP_GAP_BL,1.750522654,2.209129361,3.020251197,4.049743485,19,0.398671096,12.99946294,20
DE,2013,ENR_AP_GAP_HI,1.197147518,1.415779498,2.165899738,2.373169267,14,0.697674419,3.789205156,18
DE,2015,ENR_AP_GAP_AS,1.220642704,1.224125645,1.227608586,1.231091527,2,0.030418251,1.234574468,20
DE,2015,ENR_AP_GAP_BL,1.552343036,1.895384615,2.214071567,3.058882486,16,0.788296637,4.034334764,20
DE,2015,ENR_AP_GAP_HI,1.190140845,1.282105263,1.751170569,2.764035214,16,0.444816054,6.060638298,20
DE,2017,ENR_AP_GAP_AS,1.043512244,1.058567833,1.188635162,1.430406524,5,0.18452381,1.652777778,23
DE,2017,ENR_AP_GAP_BL,1.386471168,1.901529311,2.191792606,2.601549278,22,0.378858351,4.64516129,24
DE,2017,ENR_AP_GAP_HI,1.438383858,1.813334302,2.120174674,2.21322054,18,0.801793409,3.315010571,21
DE,2020,ENR_AP_GAP_BL,1.405763198,2.156304876,2.67849,3.215190916,24,0.855196068,7.32,27
DE,2020,ENR_AP_GAP_HI,1.314221036,1.470178467,1.857022727,2.360100051,23,0.243090771,6.728215768,28
DE,2021,ENR_AP_GAP_AS,1.207286981,1.39844493,1.563300304,1.701853104,3,0.185453959,1.840405904,26
DE,2021,ENR_AP_GAP_BL,1.317686671,1.619727716,2.328022607,2.858776624,27,0.690656123,5.210649777,29
DE,2021,ENR_AP_GAP_HI,1.26512181,1.369408989,1.748326698,1.962187105,25,0.65,2.580542755,29
FL,2011,ENR_AP_GAP_BL,1.617486339,2.129088511,2.523453762,2.893671178,61,1.033333333,7.674559806,61
FL,2011,ENR_AP_GAP_HI,1.172954548,1.242989549,1.424303656,1.570567417,48,0.08583691,3.014480646,63
FL,2013,ENR_AP_GAP_BL,1.749645075,1.996891836,2.326174559,3.192796354,58,0.244680851,8.994889267,62
FL,2013,ENR_AP_GAP_HI,1.164236005,1.238078582,1.391084756,1.64823732,41,0.274451098,2.347556939,60
FL,2015,ENR_AP_GAP_AS,1.15595758,1.15595758,1.15595758,1.15595758,1,0.057907846,1.15595758,58
FL,2015,ENR_AP_GAP_BL,1.710355244,2.188477876,2.481877432,3.125091471,57,0.365466102,4.835192698,62
FL,2015,ENR_AP_GAP_HI,1.17032632,1.254053783,1.503746253,1.650739038,40,0.249152542,2.446579298,61
FL,2017,ENR_AP_GAP_BL,1.707517751,1.987730061,2.368607496,3.152129817,61,0.879118702,8.377934272,62
FL,2017,ENR_AP_GAP_HI,1.106845707,1.240927084,1.337980759,1.569355334,48,0.553752535,2.378378378,65
FL,2020,ENR_AP_GAP_BL,1.547345253,2.203943636,2.622907911,3.401546116,58,0.399728997,5.979282869,60
FL,2020,ENR_AP_GAP_HI,1.136459549,1.303514198,1.429111577,1.582956562,48,0.174603175,2.549931028,60
FL,2021,ENR_AP_GAP_BL,1.500344317,1.941121518,2.416610244,3.131575519,58,0.689076972,9.356205853,61
FL,2021,ENR_AP_GAP_HI,1.150866454,1.236686842,1.375678895,1.611942914,49,0.26741573,2.726293103,61
GA,2011,ENR_AP_GAP_AS,1.249762352,1.297895134,1.449737114,1.562073824,7,0.068829114,1.776270521,118
GA,2011,ENR_AP_GAP_BL,1.618705979,2.079989288,2.796919935,3.960657401,134,0.208704253,18.59390863,146
GA,2011,ENR_AP_GAP_HI,1.226001947,1.580387155,1.777557393,2.460778727,92,0.188139059,12.18589535,124
