"GEOG","LEA_STATE","SCHOOLS","YEAR","ENR","ENR_HS_TOT","STU_TEACH_RAT","ENR_AP","SCH_FTETEACH_TOT","SCH_APCOURSES_TOT","SCH_APCOURSES_MODE","SCH_APCOURSES_MEAN","PCT_ENR_WH","PCT_ENR_BL","PCT_ENR_AS","PCT_ENR_HI","PCT_ENR_OTH","PCT_ENR_NON_WH","PCT_ENR_AP","ENR_AP_GAP_BL","ENR_AP_GAP_AS","ENR_AP_GAP_HI"
"STATE","AZ",2023,2021,1115843,358923,18.1775219579907,46049,61385.8700090572,2632,2,12.0182648401826,0.357282341691439,0.0572015955649675,0.0305392425278467,0.468045235754492,0.0869315844612549,0.642717658308561,0.0412683504758286,1.85296984042235,0.381499558882581,1.66936274325912
"STATE","CA",9866,2011,6276950,1846627,NA,370523,0,0,NA,NA,0.259783493575702,0.0660628171325246,0.106374433442994,0.520421382996519,0.047357872852261,0.740216506424298,0.0590291463210636,1.91465854200138,0.632752068590574,1.60780591490201
"STATE","CA",9881,2013,6261328,1818468,22.8235057911658,392594,274336.82,0,NA,NA,0.24904812525394,0.0619443670735665,0.108820365264366,0.532219363048861,0.0479677793592669,0.75095187474606,0.0627013949756346,1.76720825361658,0.607118711991841,1.48373646495769
"STATE","CA",10138,2015,6282366,0,22.1970820708898,425288,283026.659987845,0,NA,NA,0.240268077345382,0.0583168825248322,0.110785649865035,0.538458759008947,0.0521706312558039,0.759731922654618,0.0676955147153159,NA,NA,NA
"STATE","CA",10121,2017,6230002,1754248,21.5751241708645,454749,288758.569853939,15980,10,12.6124704025257,0.233849684157405,0.0550797575987937,0.114818422209174,0.544409295534737,0.0518428404998907,0.766150315842595,0.0729933955077382,1.74482064877031,0.67412584626317,1.39861888679135
"STATE","CA",10150,2020,5981470,1949431,20.8800320502198,443451,286468.430010721,17285,1,12.6630036630037,0.218745392019019,0.0521032455232577,0.116325752699587,0.55819372161024,0.0566636629457307,0.781254607980981,0.07413746119265,1.87746784487893,0.606148516838809,1.50037452098109
"STATE","CA",9984,2021,5843568,1937564,20.343725764073,403318,287241.779985048,15981,9,11.639475600874,0.211562353685283,0.0508049191863601,0.117630872097321,0.561078437009717,0.0589234180213185,0.788437646314717,0.0690191335156877,1.99569296863683,0.609734914407637,1.64510430310953
"STATE","CO",1811,2011,865959,241674,NA,46282,0,0,NA,NA,0.560611992022717,0.0482759576377173,0.0315453733952762,0.316717073210164,0.042849603734126,0.439388007977283,0.0534459483647609,1.45648291312531,0.692678184435132,2.01784425003693
"STATE","CO",1841,2013,879844,248894,17.237292834186,51073,51043.05,0,NA,NA,0.547985779297239,0.0473890826100991,0.0310509590336469,0.327358031651065,0.0462161474079496,0.452014220702761,0.0580477902900969,1.40384758777716,0.681972122154603,1.84796830063596
"STATE","CO",1868,2015,901978,0,17.2921948024123,53962,52160.989990361,0,NA,NA,0.539701633520995,0.0466020235526809,0.0313389018357432,0.332882841931843,0.0494745991587378,0.460298366479005,0.0598262928807576,NA,NA,NA
"STATE","CO",1908,2017,910919,270243,17.1843106532783,59458,53008.7600474227,2446,1,9.26515151515152,0.534447080366092,0.0457966076017736,0.0317382774977797,0.336588653875921,0.051429380658434,0.465552919633908,0.0652725434423917,1.49145610595171,0.672692244879438,1.83806576224116
"STATE","CO",1925,2020,881493,278378,16.346187381505,53751,53926.5199539661,2474,1,8.7112676056338,0.524128949407426,0.0458494849079913,0.0321806299085756,0.341644233136281,0.056196702639726,0.475871050592574,0.0609772284068053,1.48701312998435,0.599115339910509,2.00301044160102
"STATE","CO",1880,2021,854420,279798,15.9619969959303,55281,53528.3899763823,2602,1,9.12982456140351,0.520072095690644,0.0451663116500082,0.0315102642728401,0.343971348985277,0.0592799794012312,0.479927904309356,0.0647000304299993,1.51872261140219,0.605849127208288,1.89417562407714
"STATE","CT",1122,2011,562531,167961,NA,29829,0,0,NA,NA,0.611431192236517,0.127157436656824,0.0444793264726744,0.19000730626401,0.0269247383699743,0.388568807763483,0.0530264109889055,2.33351174025449,0.572937132304166,2.4788032188184
"STATE","CT",1139,2013,547017,168559,12.3014872643085,29717,44467.55,0,NA,NA,0.582563247577315,0.129666902491147,0.0468724006749333,0.210477919333403,0.0304195299232017,0.417436752422685,0.0543255511254678,2.27292137867363,0.567880146348052,2.37603372004791
"STATE","CT",1238,2015,537516,0,12.033344015621,33033,44668.8800139204,0,NA,NA,0.558232685166581,0.12838873633529,0.0500115345403672,0.229596886418265,0.0337701575394965,0.441767314833419,0.0614549148304423,NA,NA,NA
"STATE","CT",1214,2017,529367,161131,11.7928735691589,35778,44888.7200304102,2383,11,13.3128491620112,0.535159917410794,0.127967931510653,0.0516957044923465,0.247928185927721,0.0372482606584846,0.464840082589206,0.0675863814706999,2.00180448176558,0.599910649227805,2.1234500630577
"STATE","CT",1176,2020,507822,158662,11.2833937805504,37187,45006.1399855912,2274,15,13.0689655172414,0.497052116686556,0.127186297560956,0.0525124945354868,0.276998633379412,0.0462504578375888,0.502947883313444,0.0732284146807346,1.5487597905146,0.609576259902141,2.17907081490797
"STATE","CT",1102,2021,494746,157779,11.1600903347647,32720,44331.7200093642,2327,10,13.2971428571429,0.486669927599213,0.124550779591952,0.0513637300756348,0.28891188609913,0.0485016553948895,0.513330072400787,0.0661349460127015,1.91200966360469,0.597454200164655,2.307150139764
"STATE","DC",211,2011,73505,16090,NA,3393,0,0,NA,NA,0.0770287735528195,0.758084484048704,0.0144071831848174,0.129664648663356,0.0208149105503027,0.92297122644718,0.0461601251615536,3.54958244654992,1.53382592841378,1.84110307858898
"STATE","DC",204,2013,76395,16757,13.0876104981841,3590,5837.2,0,NA,NA,0.0913803259375614,0.726317167353884,0.0153413181490935,0.146999149158976,0.0199620394004843,0.908619674062439,0.0469926042280254,3.51258914660639,1.11248100969966,2.32014885423682
"STATE","DC",221,2015,82585,17394,12.1112619987223,4183,6818.86000061035,0,NA,NA,0.102718411333777,0.703929284979112,0.0151480293031422,0.154410607253133,0.0237936671308349,0.897281588666223,0.0506508445843676,3.0155148429628,1.15458621107476,1.96189122992192
"STATE","DC",228,2017,85397,17932,11.9560271583529,4942,7142.58999824524,275,5,8.59375,0.11310701781093,0.678630396852348,0.0161246882208977,0.165942597515135,0.0261952996006885,0.88689298218907,0.0578708853941005,2.6870562831311,1.14224636643122,1.96639454061295
"STATE","DC",240,2020,89225,18470,11.136837374278,4916,8011.70000076294,315,10,9.84375,0.129223872233119,0.6516559260297,0.0156234239282712,0.172048192771084,0.0314485850378257,0.870776127766882,0.0550966657326982,2.61629140961523,1.1831566793913,2.07390756267903
"STATE","DC",231,2021,83011,19434,10.1914636226629,4638,8145.15000724792,304,8,10.1333333333333,0.131898182168628,0.643938755104745,0.0147932201756394,0.17512136945706,0.0342484730939273,0.868101817831372,0.0558721133343774,2.90459711638432,1.0694804277168,2.05592978158808
"STATE","DE",232,2011,133095,38047,NA,5433,0,0,NA,NA,0.49227995041136,0.320913633119201,0.0338855704571922,0.128457117096811,0.0244637289154363,0.50772004958864,0.0408204665840189,2.38476944938628,0.439950011332799,1.72841044953428
"STATE","DE",227,2013,135401,38272,14.3738097108486,5984,9419.98,0,NA,NA,0.477640490099778,0.312442301016979,0.0352730038921426,0.142148137753783,0.0324960672373173,0.522359509900222,0.0441946514427515,2.11949080229397,0.467451763207126,1.95271481941414
"STATE","DE",235,2015,139175,39118,14.5662212077607,6595,9554.64001369476,0,NA,NA,0.455678103107598,0.311234057840848,0.0370756242141189,0.158670738279145,0.0373414765582899,0.544321896892402,0.0473863840488594,2.02554372220182,0.536383190808457,1.9685217398123
"STATE","DE",231,2017,138525,40281,14.3971589182681,11121,9621.69000053406,424,17,12.1142857142857,0.44041147807255,0.305403356794802,0.0382963364013716,0.17334777116044,0.0425410575708356,0.55958852192745,0.0802815376285869,1.40883415172615,0.547439456823,2.04522016253653
"STATE","DE",232,2020,139187,42930,13.5883667999823,6493,10243.1000022888,467,7,11.974358974359,0.421806634240267,0.301702026769741,0.0426548456393198,0.182538599150783,0.0512978941998894,0.578193365759733,0.0466494715742131,2.57109406108532,0.421132556040011,1.89864520668979
"STATE","DE",229,2021,138394,44040,14.3383754662246,7253,9652,470,8,11.75,0.414866251427085,0.303835426391318,0.0423501018830296,0.184401057849329,0.0545471624492391,0.585133748572915,0.0524083414020839,1.97652474351158,0.427564231098558,1.9204202687077
"STATE","FL",3886,2011,2667464,787259,NA,172809,0,0,NA,NA,0.423637957250782,0.229383039471198,0.0255208692600912,0.285469644576272,0.0359884894416569,0.576362042749218,0.0647840045826298,1.9121745597247,0.553048828600053,1.17840694815565
"STATE","FL",3954,2013,2723643,806206,16.9120014822915,184757,161047.94,0,NA,NA,0.408479011382916,0.228666165132508,0.0260742689111605,0.299256914360656,0.0375236402127592,0.591520988617084,0.0678345142883998,2.00869393980947,0.534429440900122,1.15340757329017
"STATE","FL",3952,2015,2784084,833894,18.2840707241954,195563,152268.279968739,0,NA,NA,0.393025138609324,0.225322583657677,0.0266004905024417,0.315684799740238,0.03936698749032,0.606974861390676,0.0702432110525401,2.06023601469729,0.545685705587929,1.172061347734
"STATE","FL",3976,2017,2831696,850984,16.8625079348123,210262,167928.519941807,7219,1,13.2216117216117,0.380400650352298,0.221170987281121,0.0274658720427617,0.331226586469734,0.039735903854086,0.619599349647702,0.0742530271611077,2.0141712700158,0.55399339893007,1.15894625701262
